date,total_gross
2009-03-31,2398679510
2009-06-30,2761620230
2009-09-30,2557864834
2009-12-31,2710450533
2010-03-31,2590638556
2010-06-30,2665947290
2010-09-30,2679228272
2010-12-31,2429191110
2011-03-31,2056690340
2011-06-30,2790843770
2011-09-30,2844505225
2011-12-31,2279992429
2012-03-31,2549269144
2012-06-30,2753718091
2012-09-30,2640835458
2012-12-31,2684535915
2013-03-31,2218168448
2013-06-30,2972637373
2013-09-30,2808107364
2013-12-31,2712623407
2014-03-31,2367150245
2014-06-30,2774151633
2014-09-30,2431832555
2014-12-31,2582731987
2015-03-31,2409268678
2015-06-30,3041490670
2015-09-30,2583731172
2015-12-31,2870875866
2016-03-31,2725950560
2016-06-30,2762347469
2016-09-30,2939673726
2016-12-31,2782226317
2017-03-31,2859212981
2017-06-30,2677942198
2017-09-30,2530678650
2017-12-31,2858939767
2018-03-31,2823783123
2018-06-30,3316056838
2018-09-30,2691972752
2018-12-31,2927805653
2019-03-31,2366682127
2019-06-30,3200190775
2019-09-30,2787224121
2019-12-31,2859702229
2020-03-31,1775179788
2020-06-30,3477985
2020-09-30,100673638
2020-12-31,190637844
2021-03-31,232430485
2021-06-30,717108831
2021-09-30,1250684195
2021-12-31,2050973775
2022-03-31,1335590830
2022-06-30,2319859708
2022-09-30,1916953031
2022-12-31,1768142845
2023-03-31,1707986334
2023-06-30,2671041953
2023-09-30,2640622012
2023-12-31,1836400846
2024-03-31,1595413549
2024-06-30,1921572382
2024-09-30,2650150816
2024-12-31,537335173
