date,releases,top_1_gross,top_10_gross,total_gross
2009-12-31,47.81095890410959,8850223.306849316,25458552.78082192,28571548.238356166
2010-12-31,44.58904109589041,9035049.906849315,25851486.526027396,28397274.597260274
2011-12-31,48.394520547945206,8147853.312328767,24399008.457534246,27320634.969863012
2012-12-31,47.505464480874316,9628562.286885247,26053550.24590164,29039231.169398908
2013-12-31,48.72054794520548,9318878.408219177,26431968.7369863,29346675.594520546
2014-12-31,48.42739726027397,8828160.821917808,24901651.202739727,27824291.561643835
2015-12-31,45.21369863013699,11601584.14520548,27327158.0,29877716.126027398
2016-12-31,51.39617486338798,11482855.016393442,27935668.912568305,30628956.48087432
2017-12-31,53.33150684931507,11210209.93150685,27189343.90958904,29936366.016438358
2018-12-31,56.087671232876716,11734172.736986302,28874484.99452055,32218132.509589043
2019-12-31,56.64109589041096,12895332.339726027,28049701.394520547,30722737.67671233
2020-12-31,21.57777777777778,1886578.4083333334,5132832.488888889,5749914.597222222
2021-12-31,28.224657534246575,6006739.679452055,11340082.120547945,11647115.852054795
2022-12-31,33.293150684931504,10095775.2,19358936.67671233,20111086.065753426
2023-12-31,35.12328767123287,10224624.57260274,23111650.591780823,24263153.82191781
2024-12-31,38.54368932038835,9592283.919093851,20484265.313915856,21697320.129449837
